modelo,acc,macro_f1,kappa,delta_macro_f1_vs_baseline
RandomForest (class_weight=balanced),0.5268620268620269,0.3823577231327188,0.1107790848684293,0.21167014774068021
XGBoost (sample_weight balanceado),0.4829059829059829,0.3456001334877185,0.0517081932992808,0.1749125580956799
RandomForest + SMOTE,0.4914529914529914,0.2821366101037663,0.0792219720092938,0.11144903471172768
BiLSTM ordinal (CORAL),0.5238095238095238,0.2657771090971844,0.0606113187792445,0.09508953370514578
RandomForest (sem balanceamento),0.5152625152625152,0.2465658728417241,0.0407275463014183,0.0758782974496855
SVM (class_weight=balanced),0.362026862026862,0.2080521818252966,0.0343593874815527,0.03736460643325801
Baseline trivial (classe majoritaria),0.5183150183150184,0.1706875753920386,0.0,0.0
BiLSTM + Focal Loss (class-weighted),0.1568986568986569,0.1210100190803531,0.0326116659931103,-0.04967755631168551
