modelo,macro_f1_media,macro_f1_ic_low,macro_f1_ic_high,kappa_media,kappa_ic_low,kappa_ic_high
Trilha A (ML classico),0.37777247584772927,0.30709328775621014,0.48114408487653915,0.10976098405022207,0.06755038210350055,0.15178734213787484
Baseline trivial,0.17162023300007664,0.16557437159224653,0.177432059866089,0.0,0.0,0.0
